offer_id,driver_id,passenger_id,request_id,driver_x,driver_y,passenger_x,passenger_y,driver_type,passenger_preference,distance_to_pickup_km,estimated_wait_time_min,driver_rating,trip_distance_km,surge_multiplier,traffic_multiplier,offered_price,score,max_wait_time_min,driver_availability,eligible_offer,offer_rank_for_passenger,recommendation_flag
O0075,D025,P002,R002,72,31,85,86,premium,fast,56.52,109.5,4.7,14.2,1.1,1.12,92.38,94.66,7,unavailable,No,,Filtered out
O0076,D026,P002,R002,40,30,85,86,balanced,fast,71.84,147.3,4.5,14.2,1.1,1.12,76.65,117.99,7,available,No,,Filtered out
O0077,D027,P002,R002,72,12,85,86,economical,fast,75.13,188,4.2,14.2,1.1,1.12,59.01,142.98,7,available,No,,Filtered out
O0078,D028,P002,R002,69,90,85,86,balanced,fast,16.49,39.2,4.4,14.2,1.1,1.12,43.44,35.69,7,available,No,,Filtered out
O0079,D029,P002,R002,17,33,85,86,balanced,fast,86.21,242.4,4.6,14.2,1.1,1.12,100.01,189.22,7,available,No,,Filtered out
O0080,D030,P002,R002,33,64,85,86,premium,fast,56.46,127.5,4.7,14.2,1.1,1.12,91.61,107.1,7,available,No,,Filtered out
O0081,D031,P002,R002,81,33,85,86,economical,fast,53.15,112.6,4,14.2,1.1,1.12,47.04,87.83,7,available,No,,Filtered out
O0082,D032,P002,R002,4,47,85,86,balanced,fast,89.9,252.7,4.5,14.2,1.1,1.12,99.32,196.3,7,available,No,,Filtered out
O0083,D033,P002,R002,26,87,85,86,balanced,fast,59.01,137.7,4.3,14.2,1.1,1.12,77.37,111.43,7,unavailable,No,,Filtered out
O0084,D034,P002,R002,20,22,85,86,balanced,fast,91.22,205.3,4.6,14.2,1.1,1.12,103.54,163.96,7,available,No,,Filtered out
O0085,D035,P002,R002,89,13,85,86,economical,fast,73.11,176.5,4.2,14.2,1.1,1.12,69.76,137.08,7,available,No,,Filtered out
O0086,D036,P002,R002,84,24,85,86,premium,fast,62.01,127.3,4.7,14.2,1.1,1.12,105.37,109.71,7,available,No,,Filtered out
O0087,D037,P002,R002,42,3,85,86,economical,fast,93.48,242.6,4.7,14.2,1.1,1.12,79.14,185.18,7,available,No,,Filtered out
O0088,D038,P002,R002,55,77,85,86,premium,fast,31.32,71.2,4.8,14.2,1.1,1.12,69.12,63.18,7,available,No,,Filtered out
O0089,D039,P002,R002,92,94,85,86,economical,fast,10.63,33.5,4.1,14.2,1.1,1.12,28.82,28.8,7,available,No,,Filtered out
O0090,D040,P002,R002,38,64,85,86,balanced,fast,51.89,103.6,4.3,14.2,1.1,1.12,68.91,85.87,7,available,No,,Filtered out
O0091,D041,P002,R002,22,78,85,86,balanced,fast,63.51,134.4,4.6,14.2,1.1,1.12,80.19,109.66,7,available,No,,Filtered out
O0092,D042,P002,R002,56,56,85,86,economical,fast,41.73,108.9,4,14.2,1.1,1.12,48.3,85.49,7,available,No,,Filtered out
O0093,D043,P002,R002,11,96,85,86,economical,fast,74.67,210.1,4.6,14.2,1.1,1.12,65.65,159.74,7,available,No,,Filtered out
O0094,D044,P002,R002,58,53,85,86,balanced,fast,42.64,120.4,4.4,14.2,1.1,1.12,63.18,96.48,7,available,No,,Filtered out
O0095,D045,P002,R002,98,13,85,86,balanced,fast,74.15,167.1,4.5,14.2,1.1,1.12,76.34,131.79,7,available,No,,Filtered out
O0096,D046,P002,R002,59,85,85,86,economical,fast,26.02,61.3,4.5,14.2,1.1,1.12,38.92,50.24,7,available,No,,Filtered out
O0097,D047,P002,R002,70,57,85,86,premium,fast,32.65,67.5,5,14.2,1.1,1.12,73.05,61.36,7,available,No,,Filtered out
O0098,D048,P002,R002,30,35,85,86,balanced,fast,75.01,187.7,4.4,14.2,1.1,1.12,86.53,148.26,7,available,No,,Filtered out
O0099,D049,P002,R002,19,90,85,86,economical,fast,66.12,165.6,4.2,14.2,1.1,1.12,52.96,126.09,7,available,No,,Filtered out
O0100,D050,P002,R002,89,2,85,86,economical,fast,84.1,202.8,4.4,14.2,1.1,1.12,68.98,155.32,7,available,No,,Filtered out
O0101,D001,P003,R003,75,54,50,75,balanced,balanced,32.65,71.4,4.4,24.6,1.12,0.97,69.44,55.36,11,available,No,,Filtered out
O0102,D002,P003,R003,57,75,50,75,economical,balanced,7,19.5,4.4,24.6,1.12,0.97,42.41,25.03,11,available,No,,Filtered out
O0103,D003,P003,R003,13,11,50,75,premium,balanced,73.93,117.3,4.9,24.6,1.12,0.97,125.23,96.43,11,available,No,,Filtered out
O0104,D004,P003,R003,70,37,50,75,economical,balanced,42.94,114.6,4.4,24.6,1.12,0.97,65.52,68.71,11,available,No,,Filtered out
O0105,D005,P003,R003,29,12,50,75,balanced,balanced,66.41,111.4,4.6,24.6,1.12,0.97,101.03,83.53,11,unavailable,No,,Filtered out
O0106,D006,P003,R003,9,77,50,75,economical,balanced,41.05,89.5,4.3,24.6,1.12,0.97,62.97,58.8,11,available,No,,Filtered out
O0107,D007,P003,R003,41,98,50,75,economical,balanced,24.7,52.3,4.1,24.6,1.12,0.97,55.15,42.3,11,available,No,,Filtered out
O0108,D008,P003,R003,27,83,50,75,economical,balanced,24.35,55.5,4.2,24.6,1.12,0.97,52.96,42.42,11,available,No,,Filtered out
O0109,D009,P003,R003,54,74,50,75,economical,balanced,4.12,10.2,4.3,24.6,1.12,0.97,42.12,21.66,11,available,Yes,1,Show to passenger
O0110,D010,P003,R003,87,54,50,75,economical,balanced,42.54,86.4,4.1,24.6,1.12,0.97,55,54.17,11,available,No,,Filtered out
O0111,D011,P003,R003,14,87,50,75,economical,balanced,37.95,74.6,4.7,24.6,1.12,0.97,61.76,52.96,11,available,No,,Filtered out
O0112,D012,P003,R003,33,64,50,75,balanced,balanced,20.25,43.1,4.5,24.6,1.12,0.97,65.39,43.61,11,available,No,,Filtered out
O0113,D013,P003,R003,99,67,50,75,balanced,balanced,49.65,86,4.6,24.6,1.12,0.97,79.19,64.82,11,available,No,,Filtered out
O0114,D014,P003,R003,72,10,50,75,balanced,balanced,68.62,138.7,4.4,24.6,1.12,0.97,97.18,91.4,11,available,No,,Filtered out
O0115,D015,P003,R003,33,67,50,75,balanced,balanced,18.79,35.2,4.8,24.6,1.12,0.97,59.88,38.31,11,available,No,,Filtered out
O0116,D016,P003,R003,47,56,50,75,balanced,balanced,19.24,33,4.6,24.6,1.12,0.97,63.34,39.13,11,available,No,,Filtered out
O0117,D017,P003,R003,80,7,50,75,balanced,balanced,74.32,181.2,4.3,24.6,1.12,0.97,94.04,104.88,11,available,No,,Filtered out
O0118,D018,P003,R003,73,73,50,75,economical,balanced,23.09,45.8,4.2,24.6,1.12,0.97,48.99,37.24,11,available,No,,Filtered out
O0119,D019,P003,R003,93,6,50,75,economical,balanced,81.3,206.7,4.3,24.6,1.12,0.97,79.9,107.44,11,available,No,,Filtered out
O0120,D020,P003,R003,57,17,50,75,balanced,balanced,58.42,98.1,4.3,24.6,1.12,0.97,90.44,74.17,11,available,No,,Filtered out
O0121,D021,P003,R003,69,1,50,75,economical,balanced,76.4,194.3,4.6,24.6,1.12,0.97,82.61,104.26,11,available,No,,Filtered out
O0122,D022,P003,R003,0,49,50,75,premium,balanced,56.36,100.4,4.7,24.6,1.12,0.97,126.82,91.27,11,available,No,,Filtered out
O0123,D023,P003,R003,19,24,50,75,premium,balanced,59.68,94.9,4.7,24.6,1.12,0.97,127.05,89.45,11,available,No,,Filtered out
O0124,D024,P003,R003,67,20,50,75,economical,balanced,57.57,153.3,4.5,24.6,1.12,0.97,66.13,82.51,11,available,No,,Filtered out
O0125,D025,P003,R003,72,31,50,75,premium,balanced,49.19,82.8,4.7,24.6,1.12,0.97,112.18,78.52,11,unavailable,No,,Filtered out
O0126,D026,P003,R003,40,30,50,75,balanced,balanced,46.1,82.3,4.5,24.6,1.12,0.97,77.7,62.87,11,available,No,,Filtered out
O0127,D027,P003,R003,72,12,50,75,economical,balanced,66.73,144.8,4.2,24.6,1.12,0.97,70.51,81.57,11,available,No,,Filtered out
O0128,D028,P003,R003,69,90,50,75,balanced,balanced,24.21,49.6,4.4,24.6,1.12,0.97,68.42,47.27,11,available,No,,Filtered out
O0129,D029,P003,R003,17,33,50,75,balanced,balanced,53.41,130.5,4.6,24.6,1.12,0.97,92.83,86.53,11,available,No,,Filtered out
O0130,D030,P003,R003,33,64,50,75,premium,balanced,20.25,40.3,4.7,24.6,1.12,0.97,86.85,52.25,11,available,No,,Filtered out
O0131,D031,P003,R003,81,33,50,75,economical,balanced,52.2,95.9,4,24.6,1.12,0.97,59.98,59.76,11,available,No,,Filtered out
O0132,D032,P003,R003,4,47,50,75,balanced,balanced,53.85,131.6,4.5,24.6,1.12,0.97,92.69,86.87,11,available,No,,Filtered out
O0133,D033,P003,R003,26,87,50,75,balanced,balanced,26.83,54.8,4.3,24.6,1.12,0.97,72.16,50.79,11,unavailable,No,,Filtered out
O0134,D034,P003,R003,20,22,50,75,balanced,balanced,60.9,119.1,4.6,24.6,1.12,0.97,98.92,85.28,11,available,No,,Filtered out
O0135,D035,P003,R003,89,13,50,75,economical,balanced,73.25,153.3,4.2,24.6,1.12,0.97,85,91.07,11,available,No,,Filtered out
O0136,D036,P003,R003,84,24,50,75,premium,balanced,61.29,109.1,4.7,24.6,1.12,0.97,130.8,96.11,11,available,No,,Filtered out
O0137,D037,P003,R003,42,3,50,75,economical,balanced,72.44,163.2,4.7,24.6,1.12,0.97,80.81,92.54,11,available,No,,Filtered out
O0138,D038,P003,R003,55,77,50,75,premium,balanced,5.39,11.5,4.8,24.6,1.12,0.97,71.73,35.34,11,available,No,,Filtered out
O0139,D039,P003,R003,92,94,50,75,economical,balanced,46.1,123,4.1,24.6,1.12,0.97,64.05,71.05,11,available,No,,Filtered out
O0140,D040,P003,R003,38,64,50,75,balanced,balanced,16.28,28.9,4.3,24.6,1.12,0.97,61.88,37.1,11,available,No,,Filtered out
O0141,D041,P003,R003,22,78,50,75,balanced,balanced,28.16,52.2,4.6,24.6,1.12,0.97,70.52,49.08,11,available,No,,Filtered out
O0142,D042,P003,R003,56,56,50,75,economical,balanced,19.92,45.6,4,24.6,1.12,0.97,50.78,38.01,11,available,No,,Filtered out
O0143,D043,P003,R003,11,96,50,75,economical,balanced,44.29,108.4,4.6,24.6,1.12,0.97,61.4,64.65,11,available,No,,Filtered out
O0144,D044,P003,R003,58,53,50,75,balanced,balanced,23.41,57.8,4.4,24.6,1.12,0.97,69.62,50.68,11,available,No,,Filtered out
O0145,D045,P003,R003,98,13,50,75,balanced,balanced,78.41,153.1,4.5,24.6,1.12,0.97,97.99,96.78,11,available,No,,Filtered out
O0146,D046,P003,R003,59,85,50,75,economical,balanced,13.45,28,4.5,24.6,1.12,0.97,44.37,28.87,11,available,No,,Filtered out
O0147,D047,P003,R003,70,57,50,75,premium,balanced,26.91,48.5,5,24.6,1.12,0.97,93.54,58.07,11,available,No,,Filtered out
O0148,D048,P003,R003,30,35,50,75,balanced,balanced,44.72,97.4,4.4,24.6,1.12,0.97,81.16,69.73,11,available,No,,Filtered out
O0149,D049,P003,R003,19,90,50,75,economical,balanced,34.44,75.2,4.2,24.6,1.12,0.97,50.52,48.21,11,available,No,,Filtered out
O0150,D050,P003,R003,89,2,50,75,economical,balanced,82.76,173,4.4,24.6,1.12,0.97,83.31,97.16,11,available,No,,Filtered out
O0151,D001,P004,R004,75,54,33,48,balanced,cheap,42.43,91.5,4.4,22.2,1.6,0.96,88.17,79.58,15,available,No,,Filtered out
O0152,D002,P004,R004,57,75,33,48,economical,cheap,36.12,95.6,4.4,22.2,1.6,0.96,69.39,67.25,15,available,No,,Filtered out
O0153,D003,P004,R004,13,11,33,48,premium,cheap,42.06,66.5,4.9,22.2,1.6,0.96,114.39,92.88,15,available,No,,Filtered out
O0154,D004,P004,R004,70,37,33,48,economical,cheap,38.6,102.1,4.4,22.2,1.6,0.96,72.15,70.49,15,available,No,,Filtered out
O0155,D005,P004,R004,29,12,33,48,balanced,cheap,36.22,60.6,4.6,22.2,1.6,0.96,91.14,75.46,15,unavailable,No,,Filtered out
O0156,D006,P004,R004,9,77,33,48,economical,cheap,37.64,81.3,4.3,22.2,1.6,0.96,70.68,65.31,15,available,No,,Filtered out
O0157,D007,P004,R004,41,98,33,48,economical,cheap,50.64,105.2,4.1,22.2,1.6,0.96,80.65,77.09,15,available,No,,Filtered out
O0158,D008,P004,R004,27,83,33,48,economical,cheap,35.51,79.7,4.2,22.2,1.6,0.96,69.41,64.11,15,available,No,,Filtered out
O0159,D009,P004,R004,54,74,33,48,economical,cheap,33.42,75,4.3,22.2,1.6,0.96,68.41,62.46,15,available,No,,Filtered out
O0160,D010,P004,R004,87,54,33,48,economical,cheap,54.33,108.9,4.1,22.2,1.6,0.96,68.99,69.66,15,available,No,,Filtered out
O0161,D011,P004,R004,14,87,33,48,economical,cheap,43.38,84.3,4.7,22.2,1.6,0.96,74.72,68.69,15,available,No,,Filtered out
O0162,D012,P004,R004,33,64,33,48,balanced,cheap,16,33.9,4.5,22.2,1.6,0.96,74.3,58.34,15,available,No,,Filtered out
O0163,D013,P004,R004,99,67,33,48,balanced,cheap,68.68,117.4,4.6,22.2,1.6,0.96,103.57,95.52,15,available,No,,Filtered out
O0164,D014,P004,R004,72,10,33,48,balanced,cheap,54.45,109.1,4.4,22.2,1.6,0.96,100.98,92.07,15,available,No,,Filtered out
O0165,D015,P004,R004,33,67,33,48,balanced,cheap,19,35.2,4.8,22.2,1.6,0.96,71.5,56.61,15,available,No,,Filtered out
O0166,D016,P004,R004,47,56,33,48,balanced,cheap,16.12,27.5,4.6,22.2,1.6,0.96,74.05,56.88,15,available,No,,Filtered out
O0167,D017,P004,R004,80,7,33,48,balanced,cheap,62.37,150.7,4.3,22.2,1.6,0.96,98.1,98.38,15,available,No,,Filtered out
O0168,D018,P004,R004,73,73,33,48,economical,cheap,47.17,91.6,4.2,22.2,1.6,0.96,70.51,67.26,15,available,No,,Filtered out
O0169,D019,P004,R004,93,6,33,48,economical,cheap,73.24,184.4,4.3,22.2,1.6,0.96,84.87,95.86,15,available,No,,Filtered out
O0170,D020,P004,R004,57,17,33,48,balanced,cheap,39.2,65.5,4.3,22.2,1.6,0.96,91.17,76.49,15,available,No,,Filtered out
O0171,D021,P004,R004,69,1,33,48,economical,cheap,59.2,149.3,4.6,22.2,1.6,0.96,83.09,87.56,15,available,No,,Filtered out
O0172,D022,P004,R004,0,49,33,48,premium,cheap,33.02,58.6,4.7,22.2,1.6,0.96,121.47,96.28,15,available,No,,Filtered out
O0173,D023,P004,R004,19,24,33,48,premium,cheap,27.78,44.2,4.7,22.2,1.6,0.96,115.95,89.54,15,available,No,,Filtered out
O0174,D024,P004,R004,67,20,33,48,economical,cheap,44.05,116.3,4.5,22.2,1.6,0.96,66.87,69.62,15,available,No,,Filtered out
O0175,D025,P004,R004,72,31,33,48,premium,cheap,42.54,71,4.7,22.2,1.6,0.96,123.86,100.43,15,unavailable,No,,Filtered out
O0176,D026,P004,R004,40,30,33,48,balanced,cheap,19.31,34.7,4.5,22.2,1.6,0.96,72.16,57,15,available,No,,Filtered out
O0177,D027,P004,R004,72,12,33,48,economical,cheap,53.08,114.2,4.2,22.2,1.6,0.96,74.56,74.61,15,available,No,,Filtered out
O0178,D028,P004,R004,69,90,33,48,balanced,cheap,55.32,110.9,4.4,22.2,1.6,0.96,102.49,93.48,15,available,No,,Filtered out
O0179,D029,P004,R004,17,33,33,48,balanced,cheap,21.93,53.6,4.6,22.2,1.6,0.96,80.47,66.59,15,available,No,,Filtered out
O0180,D030,P004,R004,33,64,33,48,premium,cheap,16,31.7,4.7,22.2,1.6,0.96,100.41,76.16,15,available,No,,Filtered out
O0181,D031,P004,R004,81,33,33,48,economical,cheap,50.29,91.5,4,22.2,1.6,0.96,68.04,65.53,15,available,No,,Filtered out
O0182,D032,P004,R004,4,47,33,48,balanced,cheap,29.02,70.6,4.5,22.2,1.6,0.96,87.7,75.06,15,available,No,,Filtered out
O0183,D033,P004,R004,26,87,33,48,balanced,cheap,39.62,79.7,4.3,22.2,1.6,0.96,95.08,82.07,15,unavailable,No,,Filtered out
O0184,D034,P004,R004,20,22,33,48,balanced,cheap,29.07,56.8,4.6,22.2,1.6,0.96,86.68,71.58,15,available,No,,Filtered out
O0185,D035,P004,R004,89,13,33,48,economical,cheap,66.04,136.9,4.2,22.2,1.6,0.96,90.72,90.46,15,available,No,,Filtered out
O0186,D036,P004,R004,84,24,33,48,premium,cheap,56.36,99.4,4.7,22.2,1.6,0.96,143.47,119.84,15,available,No,,Filtered out
O0187,D037,P004,R004,42,3,33,48,economical,cheap,45.89,102.7,4.7,22.2,1.6,0.96,74.55,72.26,15,available,No,,Filtered out
O0188,D038,P004,R004,55,77,33,48,premium,cheap,36.4,70.9,4.8,22.2,1.6,0.96,115.53,94.57,15,available,No,,Filtered out
